Vintage,Country,County,Designation,Points,Price,Province,Winery
2015,Italy,Falanghina del Sannio,Taburno,92,22 ,Southern Italy,Fattoria La Rivolta
2015,France,Côtes de Gascogne,Cedrus le Blanc,85,10 ,Southwest France,Château du Cèdre
2015,France,Vouvray,Jovly,83,14 ,Loire Valley,Caves du Val de Loire
2015,France,Côtes de Provence,Les Clans,92,65 ,Provence,Château d Esclans
2015,France,Crémant d Alsace,Rosé,89,25 ,Alsace,Domaine Specht
2015,Italy,Vermentino di Sardegna,Costamolino,89,15 ,Southern Italy,Argiolas
2015,Italy,Alto Adige,Passion,89,42 ,Northeastern Italy,St. Pauls
2015,France,Quincy,Une Pointe d Authenticité,90,25 ,Loire Valley,Domaine du Coudray
2015,France,Beaune,Aux Cras Premier Cru,93,50 ,Burgundy,Maison Champy
2015,Italy,Maremma,Maremmino,88,13 ,Central Italy,Rascioni e Cecconello
2015,France,Bordeaux Rosé,Château Lalande Bellevue,88,16 ,Bordeaux,Vignerons de Tutiac
2015,Italy,Isonzo del Friuli,Rive Alte,91,32 ,Northeastern Italy,Borgo San Daniele
2015,France,Côtes de Provence,Pure,88,24 ,Provence,Mirabeau
2015,France,Chinon,Alain de la Treille,86,19 ,Loire Valley,Bougrier
2015,France,Alsace,Tradition,90,19 ,Alsace,Kuentz Bas
2015,France,Côtes de Provence,L Instant,87,18 ,Provence,Château Barbanau
2015,France,Côtes de Provence,Nuit Blanche en Provence,87,18 ,Provence,Famille Negrel
2015,France,Sancerre,Florilège,88,25 ,Loire Valley,Romain Reverdy
2015,France,Côtes de Provence,Colette,87,17 ,Provence,La Belle Collection
2015,France,Bordeaux Rosé,Rosé de Chevalier,88,16 ,Bordeaux,Domaine de Chevalier
2015,France,Limoux,Dédicace,85,18 ,Languedoc Roussillon,Château Rives Blanques
2015,Italy,Veronese,Bianco,85,10 ,Northeastern Italy,Amatore
2015,France,Alsace,Bouquet de Printemps,90,15 ,Alsace,Jean Marc Bernhard
2015,Italy,Romagna,Vigna dell Ulivo,89,15 ,Central Italy,Fattoria Paradiso
2015,France,Bordeaux Supérieur,Grande Réserve,87,18 ,Bordeaux,Château Labatut
2015,Italy,Barbera d Asti Superiore,Castelvero Albera,86,13 ,Northwestern Italy,Araldica
2015,France,Sancerre,Domaine de Terres Blanches Bellechaume,91,55 ,Loire Valley,Saget la Perrière
2015,France,Bordeaux Supérieur,Cuvée Les Tourelles,84,20 ,Bordeaux,Château Roc de Minvielle
2015,France,Vin de France,Authentic & Chic,83,10 ,France Other,Romantic
2015,France,Bordeaux,8 Generation,88,42 ,Bordeaux,Médeville Collection
2015,France,Meursault,Porusot Premier Cru,93,99 ,Burgundy,Domaine Buisson Battault
2015,France,Alsace,Réserve,89,14 ,Alsace,Willm
2015,Italy,Sicilia,Gocce di Luce,87,13 ,Southern Italy,Principe di Corleone
2015,France,Saint Amour,Vieilles Vignes,92,25 ,Beaujolais,Domaine des Chers
2015,France,Coteaux d Aix en Provence,Domaine la Rabiotte,90,15 ,Provence,Ravoire et Fils
2015,Italy,Menfi,Ciàfu,87,10 ,Southern Italy,Marilena Barbera
2015,France,Morgon,Côte du Py,94,25 ,Beaujolais,Domaines Dominique Piron
2015,France,Côtes du Rhône Villages,Domaine du Père Hugues Plan de Dieu,89,15 ,Rhône Valley,Louis Bernard
2015,France,Santenay,Clos du Clos Genet,88,32 ,Burgundy,Domaine Jessiaume
2015,France,Alsace,Clos Mathis,94,47 ,Alsace,Domaine Ostertag
2015,France,Sancerre,Aujourd hui Comme Autrefois Non Filtré,88,25 ,Loire Valley,Hubert Brochard
2015,France,Blaye Côtes de Bordeaux,Château l Escadre,90,15 ,Bordeaux,Vignobles Carreau Selection
2015,France,Pouilly Fumé,Les Vignes de Saint Laurent l Abbaye,92,22 ,Loire Valley,Domaine Chatelain
2015,France,Bandol,Cuvée G,90,21 ,Provence,Les Vignobles Gueissard
2015,Italy,Alto Adige,Kristallberg,92,26 ,Northeastern Italy,Elena Walch
2015,Italy,Romagna,ArlÃ¹s,89,15 ,Central Italy,Trerè
2015,France,Beaune,Les Fèves Premier Cru,94,93 ,Burgundy,Chanson Père et Fils
2015,Italy,Romagna,Alba della Torre Secco,87,25 ,Central Italy,La Sabbiona
2015,Italy,Etna,Vigorosa Rosato,88,28 ,Southern Italy,Fattorie Romeo del Castello
2015,Italy,Soave,Roncathe,88,12 ,Northeastern Italy,Corte Moschina
2015,France,Alsace,Ehrhart Hengst Grand Cru,94,32 ,Alsace,Domaine Saint Rémy
2015,France,Côtes de Provence,Rose et Or,93,40 ,Provence,Château Minuty
2015,France,Côtes de Provence,Castillo,87,23 ,Provence,Château Carpe Diem
2015,France,Cadillac Côtes de Bordeaux,Les Vendanges,88,35 ,Bordeaux,Domaine les Carmels
2015,France,Alsace,Goldert Grand Cru,95,26 ,Alsace,Domaine Zind Humbrecht
2015,France,Bandol,Moulin des Costes,90,20 ,Provence,Domaines Bunan
2015,Italy,Collio,Grappoli,85,24 ,Northeastern Italy,Ascevi Luwa
2015,France,Beaujolais Villages,Climat le Tracot,88,13 ,Beaujolais,Domaine Dubost
2015,France,Saint Amour,Domaine du Paradis,88,22 ,Beaujolais,Georges Duboeuf
2015,France,Alsace,Mambourg Grand Cru,92,46 ,Alsace,Pierre Sparr
2015,France,Côtes de Provence,Perle du Rosé,86,20 ,Provence,Château Réal Martin
2015,France,Côtes de Provence,Lavandelle,85,13 ,Provence,Domaines Pierre Chavin
2015,France,Côtes de Gascogne,Merlot Cabernet Sauvignon,86,10 ,Southwest France,Domaine de Ménard
